Event	Predator_density	Turbidity	Algae
0	0.062	32	27
0	0.07	23	18
0	0.071	18	13
0	0.08	18	11
0	0.082	22	18
0	0.1	21	15
0	0.11	17	12
0	0.12	15	10
0	0.13	11	6
0	0.13	28	25.8
0	0.14	8.2	6
0	0.14	15	12.8
0	0.16	19	16.8
0	0.16	22	19
0	0.21	18	15.8
1	0.21	24	21.8
1	0.27	12	9.8
0	0.27	32	27.2
0	0.29	14	9.2
1	0.32	18	13.2
1	0.39	20	15.2
1	0.41	18	14
1	0.42	17	12.2
1	0.42	26	22
1	0.45	9.1	2
1	0.46	16	20
1	0.47	25	21
1	0.49	34	21
1	0.51	20	15.2
1	0.52	17	11
1	0.52	21	16.2
1	0.54	7.3	5
1	0.59	27	22.2
1	0.62	31	20
0	0.16	15	10
0	0.21	13	8
0	0.21	8	3
0	0.27	25	22.8
0	0.27	6.2	4
0	0.29	13	10.8
0	0.32	11	8.8
0	0.39	29	19
0	0.11	16	13.8
1	0.21	32	27.2
1	0.27	14	9.2
1	0.27	18	14
1	0.29	20	15.2
1	0.32	18	22
1	0.39	17	10
1	0.41	26	21.2
